Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri Rajesh Kumar, Editor, Reporter's Eyes and Shri Sardar Bhupinder New Singh, Editor, India One Day, Delhi against the Additional Commissioner, Deputy Faridabad and the S.D.M. Ballabhgarh, Haryana ;June 12, 2008 ;Dismissed devoid of merit;Harassment of Newsmen;AnnualReport2009
2. Complaint of Shri Vijay Kumar Publisher/Editor, Srivastava, Bagpat Delhi News, New against Shri O.P. Singh, Sub- Inspector, Pakwara, Moradabad, Pradesh Uttar ;June 12, 2008 ;Sub-judice;Harassment of Newsmen;AnnualReport2009
3. Complaint of Smt. Krishna Chief Shukla, Editor, Taphtish, Hindi Sultanpur, weekly, Uttar Pradesh against local police authorities, Sultanpur ;June 12, 2008 ;Sub-judice;Harassment of Newsmen;AnnualReport2009
4. Complaint ofShri Rajkishore Journalist, Gupta, Dainik Navkaramyug, Nagar, Chitrakoot, Gandhi Uttar Pradesh local police against authorities and Railway Police Force, Chitrakoot, Uttar Pradesh ;June 12, 2008 ;Closed;Harassment of Newsmen;AnnualReport2009
5. Complaint of Shri Gurinder Mehandiratta, Singh Press Correspondent, Daily Spokesman, Faridkot, Punjab against local police authorities  ;June 12, 2008 ;Assurancе;Harassment of Newsmen;AnnualReport2009
6. Complaint of the President and other members of Press Club of Mengalganj, Lakhimpur Khiri, U.P.against local police authorities ;October 14, 2008 ;Dismissed devoid of merit;Harassment of Newsmen;AnnualReport2009
7. Complaint of Shri H.R. Khan, Editor, Operation, Hindi weekly, Uttar Pradesh against the District Magistrate, Kanpur, Uttar Pradesh ;October 14, 2008 ;Disposed of with directions;Harassment of Newsmen;AnnualReport2009
8. Complaint of Shri Salman Rizvi, Journalist, Dainik Jagran, Khiri, Uttar Pradesh against local police authorities, Khiri, Uttar Pradesh ;October 14, 2008 ;Withdrawn;Harassment of Newsmen;AnnualReport2009
9. Complaint of Shri Prashant Gaur, District Bureau Chief, Dainik CNN, Bulandshahar, Uttar Pradesh against local police authorities ;October 14, 2008 ;Upheld;Harassment of Newsmen;AnnualReport2009
10. Complaint of Shri Pramendra Sirohi, SubEditor, Khuli Kahaniya, Meerut, Uttar Pradesh against the local police authorities, Meerut, Uttar Pradesh;October 14, 2008 ;Advised;Harassment of Newsmen;AnnualReport2009
