Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of the Editor, Nav Bharat, Bilaspur against City Mayor, Bilaspur;April 17, 2000;Dropped not pursued;Harassment of Newsmen;AnnualReport2001
2. Complaint of Bajrang Lal Dixit, Chief Editor, Samachar Leader, Hindi Fortnightly, Jaipur against D.M. and local police, Jaipur;April 17, 2000;Dismissed being baseless;Harassment of Newsmen;AnnualReport2001
3. Complaint of S/Sh. Shashikant Chaturvedi, Pawan Kumar Tonk, journalists Dausa-Rajasthan against Police Authorities, Dausa, Rajasthan;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
4. Complaint of S/Sh. Shashikant Chaturvedi, Pawan Kumar Tonk, journalists, Dausa-Rajasthan against Police Authorities, Dausa, Rajasthan;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
5. Complaint of Shri Mahaveer Kumar Jain, Manager, Dainik Atma Ki Jwala, Dungarpur, (Rajasthan) against Police Authorities;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
6. Complaint of Shri Mahaveer Kumar Jain, Manager, Dainik Atma Ki Jwala, Dungarpur, (Rajasthan) against Police Authorities;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
7. Complaint of Shri Kumar Anand Sinha, Chief Editor, Samastipur Ki Shaan, Samastipur, Bihar against the District Administration, Samastipur, Bihar;April 17, 2000;Disposed of with directions;Harassment of Newsmen;AnnualReport2001
8. Complaint of Shri Kumar Krishna Anand, Executive Editor, Mithila Ki Shaan against the Local Administration;April 17, 2000;Assurance;Harassment of Newsmen;AnnualReport2001
9. Complaint of Shri Surendra Kumar Singh, Murhu Correspondent, Dainik Aaj, Ranchi against Shri Naimuddin Khan, District Organising Secretary, (Congress I);April 17, 2000;Directions;Harassment of Newsmen;AnnualReport2001
10. Complaint of Mohd. Ansari, President, All India Urdu Press Correspondents Association, Danapur Cantt against the Police Authoriti;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
11. Complaint of Shri Ranjan Jha, Correspondent, Ranchi Express, Ranchi, Bihar against the Deputy Commissioner, Dhanbad, Bihar;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
12. Complaint of Shri Sanjay Kumar Mishra, Correspondent, Ranchi Express, Bokaro against the S.H.O., Bokaro Thermal;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
13. Complaint of Shri Rajesh Kumar Gupta, corres-pondent, Rashtriya Naveen Mail against the Regional Officer, Gadwa, Bihar;April 17, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
14. Suo-motu inquiry regarding beating up of journalists by policemen at 24th Calcutta Book Fair;April 17, 2000;Proceedings dropped with observation;Harassment of Newsmen;AnnualReport2001
15. Complaint of Shri Benode Behari Mukherjee, Editor, Mazdoor Sevak, Howrah against the local police;April 17, 2000;Proceedings dropped with directions;Harassment of Newsmen;AnnualReport2001
16. Complaint of Shri Alok Prakash Yadav, Correspondent, Amar Ujala, Jhansi, Uttar Pradesh against the anti-social elements;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
17. Complaint of Shri Uday Narayan Dwivedi, Regional Correspondent, Dainik Amar Ujala, Jalaun, U.P. against the Station House Officer, Kuthaund, U.P.;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
18. Complaint of Shri Satish Chandra Gupta, journalist, Dibai, Uttar Pradesh against the local police Dibai, U.P.;June 12, 2000;Directions;Harassment of Newsmen;AnnualReport2001
19. Complaint of Shri Ram Kumar Singh, correspondent, Dainik Janhit Darshan, Jhansi against police and anti-social elements;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
20. Complaint of Shri Munnalal, Journalist, Uttar Ujala, Hindi daily, Haldwani against Shri Rajvir Singh, Police Station Incharge, Baheri, Bareilly;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
21. Complaint of Shri Dashrath Prasad Pathak, Printer/Publisher, Kushbhavanpur Sandesh, Hindi Weekly, Sultanpur, U.P. against the local police, Sultanpur, U.P.;June 12, 2000;Sub-judice;Harassment of Newsmen;AnnualReport2001
22. Complaint of Shri Rajesh Sharma, Editor, Gunahon Ki Ghati, Dehradun against police authoritiesi;June 12, 2000;Sub-judice;Harassment of Newsmen;AnnualReport2001
23. Complaint of Shri Ritu Krishna Shrivastava, Chief Editor, Tamsa Sanket, Ambedkar Nagar, U.P. against the District Supply Officer, Ambedkar Nagar, U.P.;June 12, 2000;Sub-judice;Harassment of Newsmen;AnnualReport2001
24. Complaint of Shri Komal Chand Verma, Journalist, Dainik Manyavar, Mirzapur against police authorities;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
25. Complaint of the Editor, Gurudev Weekly, Hathras, U.P. against the local police authorities, Hathras, U.P.;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
26. Complaint of Shri Satish Chandra Gaur, Editor, District Gazette weekly, Mainpuri, U.P. against the District Magistrate, Mainpuri, U.P.;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
27. Complaint of Shri Ashok Kumar Singh, Correspondent, Rashtriya Sahara, Azamgarh against the police authorities, Amazgarh, U.P.;June 12, 2000;Dismissed on merits;Harassment of Newsmen;AnnualReport2001
28. Complaint of Shri Irfan Ali, Editor, Insaf Ki Batein, Bahraich, U.P. against the City Magistrate, Bahraich, U.P.;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
29. Complaint of Shri Salim Abbas, Editor/Publisher, Abbas Ki Awaz, Hindi Weekly, Kairana, Muzafarnagar, U.P. against the District Magistrate and the Superintendent of Police, Muzaffarnagar, Uttar Pradesh;June 12, 2000;Dismissed on merits;Harassment of Newsmen;AnnualReport2001
30. Complaint of Ms. Seema Choudhary, Editor, Naro Bulletin against police authorities and anti-social elements;June 12, 2000;Dismissed for lack of substance;Harassment of Newsmen;AnnualReport2001
31. Complaint of Shri Om Veer Singh, Editor, Khilafat Bulletin, Saharanpur, U.P. against the Sub-Divisional Magistrate, Sadar Tehsil, Deoband, Uttar Pradesh;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
32. Complaint of Shri Mantosh Tiwari, Journalist, Dainik Jagran, Itawah, Uttar Pradesh against Shri K.P. Singh, Station House Officer, Bakewar, Uttar Pradesh;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
33. Complaint of Shri Sanjog Walter, Editor, Swapnil Sansar, Hindi Weekly, Lucknow against Secretary, Christian Buriel Board, Lucknow and District Administration, Lucknow;June 12, 2000;Upheld;Harassment of Newsmen;AnnualReport2001
34. Complaint of Shri Ilyas Ali Qureshi, Editor, World Express, Hyderabad against Shri Khaleel Pasha, Minister for Minorities Welfare, Government of Andhra Pradesh;August 28, 2000;Advise;Harassment of Newsmen;AnnualReport2001
