Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Km. Mamta Sharma, student B.ED. against the Government of Uttar Pradesh regarding as-sault on journalists during coverage of Aligarh riots.;June22, 1992;Withdrawn;Harassment of Newsmen;AnnualReport1993
2. Complaint of Sh. K. Narendra, Editor, The Daily Pratap, New Delhi against Delhi Administration;June22, 1992;Disposed with observations;Harassment of Newsmen;AnnualReport1993
3. Complaint of Sh. Shiv Kishore Pandey,;correspondent, Hindustan Samachar News Agency against the SP of Hamirpur for insult and man-handling.;Disposed;Harassment of Newsmen;AnnualReport1993
4. Complaint of Sh. Avanti Lal Jaiswal, Representative Weekly Sputnik against Police Authorities regarding instituting false cases against him.;correspondent, Hindustan Samachar News Agency against the SP of Hamirpur for insult and man-handling.;Upheld;Harassment of Newsmen;AnnualReport1993
5. Complaint of the Chief Editor, Dainik Rajiv Times, Indore against District Magistrate and Police authorities, Government of M.P.;September 9, 1992;Sub-judice;Harassment of Newsmen;AnnualReport1993
6. Complaint of the Editor, Dainik Fauladi Kalam, Chhattarpur against District Collector, Chhattarpur (M.P.);September 9, 1992;Assurance by authorities;Harassment of Newsmen;AnnualReport1993
7. Complaint of Smt. Rukmani Pawar, publisher 'Dainik Pathakhera ka Saput' of Sarani against Sarani po-lice, Govt. of M.P.;September 9, 1992;Upheld;Harassment of Newsmen;AnnualReport1993
8. Complaint of Sh. Manni Lal Gupta, correspondent 'Navyug Satyam' against the Agriculture Officer, Govt. of U.P. for threatening calls;September 9, 1992;Upheld ;Harassment of Newsmen;AnnualReport1993
9. Complaint of Sh. Komal Chand Verma, Correspondent/ Secretary, U.P. Shramjivi Patrakar Union, Mirzapur against police officials of U.P.;September 9, 1992;Assurance by authorities;Harassment of Newsmen;AnnualReport1993
10. Complaint of Sh. Shashi Bhushan, Zonal President All India Small News-papers Association, Mirzapur against Uttar Pradesh Police Authorities.;September 9, 1992;No action upon Assurance;Harassment of Newsmen;AnnualReport1993
"11. Complaint of Sh. Rajpal Singh editor ""Ganesh Times"" weekly Meerut against Sh. Gopal Chaube, SHO, Sardhana(U.P.)";January 6, 1993;Disposed-No action;Harassment of Newsmen;AnnualReport1993
12. Complaint of Sh. Kasim Rizvi, Ed-itor, Sugam Samachar against Dy. Di-rector, Fishery Deptt. Government of U.P.;January 6, 1993;Upheld;Harassment of Newsmen;AnnualReport1993
b.Complaint of Shri Kasim Rizvi, correspondent Blitz against Dy. Di-rector, Fishery Deptt Govt of U.P.;January 6, 1993;Upheld;Harassment of Newsmen;AnnualReport1993
13. Complaint of Chief Editor of Chardikala against Tax-Authorities of Haryana.;January 6, 1993;Dismissed;Harassment of Newsmen;AnnualReport1993
14. Complaint of Sh. R. Shanmuga Raj, Editor and Publisher Puthiya Jananayagam against CBI, Madras.;January 6, 1993;Dismissed;Harassment of Newsmen;AnnualReport1993
15. Complaint of Sh. K.P. Srivas, Bilaspur correspondent Weekly Hindi/Urdu Action, Korba, against Police Officer, Bilaspur, M.P.;January 6, 1993;Sub-judice;Harassment of Newsmen;AnnualReport1993
16. Complaint of Editor 'Prateek Times', Shahdara, Delhi against the Police authorities, Delhi.;March 31, 1993;Upheld;Harassment of Newsmen;AnnualReport1993
17. Complaint of Sh. V.G. Theodore, Freelance Journalist of Upper Gudalur, Nilgiris against police authorities regarding harassment.;March 31, 1993;Disposed with observations;Harassment of Newsmen;AnnualReport1993
18. Complaint of Goa Union of Journalist against Goa Police.;March 31, 1993;Disposed with observations;Harassment of Newsmen;AnnualReport1993
19. Complaint of General Secretary, Goa Union of Journalists against Govern-ment of Goa.;March 31, 1993;Disposed upon satisfactory amends;Harassment of Newsmen;AnnualReport1993
20. Complaint of Sh. Subhash Jain, Ad-vocate and Editor, 'Aaj Ki Janata' against the Government of M.P.;March 31, 1993;Disposed with observations;Harassment of Newsmen;AnnualReport1993
