Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri Sunil Saxena, General Secretary, Shri Radhey Shyam Yadav, President, District Journalists Association, Farrukhabad against police authorities.;August 7,2001;Dismissed;Harassment of Newsmen;AnnualReport2002
2. Complaint of Dr. Daya Shankar Tiwari, Bureau Chief, Jagprakash and General Secretary, U.P. Journalist Association, Mirzapur, U.P. against the U.P. Police.;August 7,2001;Dismissed with directions;Harassment of Newsmen;AnnualReport2002
3. Complaint of Shri Narendra Kumar, Special Correspondent, Yuva Netritva Jyoti, Sonipat, Haryana against police authorities.;August 7,2001;Dismissed;Harassment of Newsmen;AnnualReport2002
4. Complaint of Smt. Raj Dua, W/o Shri Harjit Dua, Editor, Yuva Pukar, Delhi against police authorities.;December3,2001;Dismissed with directions;Harassment of Newsmen;AnnualReport2002
5. Complaint of Shri Dharam Chand Daga, Editor, Sardarshehar Express, Sardarshehar, Rajasthan against 1) Naib Tehsildar and 2) Shri Mangatmal Saini, Sr. UDC, Sardarshehar Tehsil Office, Sardershehar.;December3,2001;Dismissed;Harassment of Newsmen;AnnualReport2002
6. Complaint of Shri Ashok Kumar, Chief Editor, Satta Darshan Times, New Delhi against police authorities.;February25, 2002;Proceedings dropped in view of assurance given by the respondent;Harassment of Newsmen;AnnualReport2002
7. Complaint of Syed Nawab Ali, Journalist, Sahara;Sandesh Times, Delhi against anti social elements.;Proceedings dropped;Harassment of Newsmen;AnnualReport2002
8. Complaint of Shri B.V. Seetaram, Managing Editor, Chitra Publications, Mangalore against Shri Ramanath Rai, Minister for Fisheries and Ports and Incharge of Dakshina Kannada District Administration.;February 25,2002;Proceedings dropped;Harassment of Newsmen;AnnualReport2002
9. Complaint of Editor, Nakkheeran against Shri M.K. Alagiri, son of the Chief Minister of Tamil Nadu.;February 25, 2002;Closed;Harassment of Newsmen;AnnualReport2002
10. Complaint of Jawahar Lal Chandwani, Editor, Vishvabhoomi, Hindi Weekly, Indore against police authorities.;March27, 2002;Closed;Harassment of Newsmen;AnnualReport2002
11. Complaint of Shri Surendra Kumar Goswami, Journalist, Dainik Nav Prabhat, Datia, Madhya Pradesh against police authroties.;March27, 2002;Dismissed;Harassment of Newsmen;AnnualReport2002
12. Complaint of Shri Shardchandra Mehta, Editor, Lalkar, Neemuch against police authorities.;March27, 2002;Dismissed;Harassment of Newsmen;AnnualReport2002
