Complaint;Date;Status;ComplaintType;Report_name
﻿1.Complaint of Shri Satish Bhatia, District Correspondent, Rashtriya Sahara, District off being Sonebadra, Uttar Pradesh against anti infructuous social elements and local police authorities.;November 17, 2011;Disposed;Harassment of Newsmen;AnnualReport2012
2.Complaint of Shri Awdesh Singh Patel, Correspondent, Amar Ujala, Banda, U.P. against the police authorities.;November 17, 2011;Directions;Harassment of Newsmen;AnnualReport2012
3.Complaint of the General Secretary, UT Journalist Union, Daman against the police authorities.;November 17, 2011;Disposed off with observations;Harassment of Newsmen;AnnualReport2012
4.Complaint of Shri Satish Sharma, Managing Editor, Savera India Times, Nani Daman against the police authorities.;November 17, 2011;Disposed off with observations;Harassment of Newsmen;AnnualReport2012
5.Complaint of Shri Anurag Srivastava, Correspondent, Swatantra Bharat, Kanpur, U.P. against the Station House Officer, Jalaun, Uttar Pradesh.;November 17, 2011;Advise;Harassment of Newsmen;AnnualReport2012
6.Complaint of Shri Devender Kumar Sharma, Owner/Publisher/Editor, Weekly Amar Tanav, Hathras, District Mahamaya Nagar, U.P. against Shri S.R. Aditya, Superintendent of Police, S.P. Singh, District Social Welfare Department and Shri Narayan Lal, Agent of District Social Welfare Department.;November 17, 2011;Caution issued to Authorities;Harassment of Newsmen;AnnualReport2012
7.Complaint of Shri Kamlesh Kumar Jha, Correspondent, Dainik Jagran, Samastipur, Bihar against Shri Maheshwar Hazari, MLA, Bihar.;March 27, 2012;Disposed off;Harassment of Newsmen;AnnualReport2012
8.Complaint of Shri Ram Singh Gautam, Correspondent, Manavta Ki Raksha, Bulandshahar, U.P. against Shri Naveen Mittal, Advocate, Bulandshahar.;March 27, 2012;Sub-judice;Harassment of Newsmen;AnnualReport2012
9.Complaint of Shri Mukesh Thakur, Correspondent, Agni Blast, Monthly Magazine, Indore, Madhya Pradesh against (i) Shri Uma Shankar Gupta, State Home Minister, Madhya Pradesh, Bhopal (ii) S.S.P., Indore, (iii) IP&RD Commissioner, Madhya Pradesh.;March 27, 2012;Dismissed;Harassment of Newsmen;AnnualReport2012
10.Complaint of Shri Ashok Singhal, Publisher/ Editor, Dholpur Tishan, Dholpur, Rajasthan against the District Administration, Dholpur, Rajasthan.;March 27, 2012;Dismissed;Harassment of Newsmen;AnnualReport2012
11.Complaint of Shri B.N. Devdas, Advocate  Coimbatore, Tamil Nadu against the Sub- Urban Commissioner, Chennai.;March 27, 2012;Sub-judice;Harassment of Newsmen;AnnualReport2012
12.Complaint of Shri K. Nagaimugan, Chennai, Tamil Nadu against the police authorities.;March 27, 2012;Sub-judice;Harassment of Newsmen;AnnualReport2012
13.Suo-motu inquiry on the reported attack on the offices of “Kannada Prabha” and “Jayakirana” published by the “Hindustan Times”, “The Hindu” and “The Times of India” in their issues dated 3.3.2010.;March 27, 2012;Enquiry Dropped Facilities to the Press;Harassment of Newsmen;AnnualReport2012
14.Complaint of Smt. Nazma Begum, Publisher/Editor, Hindi Dainik Action, Bhopal, M.P. against the DAVP.;November 17,  2011;Directions;Harassment of Newsmen;AnnualReport2012
15.Complaint of Shri Harjeet Dua, Freelancer, Delhi against Directorate of Information & Publicity, Government of NCT of Delhi.;November 17, 2011;Disposed off with directions;Harassment of Newsmen;AnnualReport2012
16.Complaint of Shri U.S. Singhal, Editor, (PG), Public News (National Newspaper on Current Affairs) Pitampura, New Delhi against Ms. Sushma Gaud, Senior PRO, DMRC, Delhi.;November 17, 2011;Matter allowed to rest;Harassment of Newsmen;AnnualReport2012
17.Complaint of Shri Amar Singh Johari, Editor, Akhiri Koshish, Panipat, Haryana against the Director, Information & Public Relations Department, Government of Haryana, Chandigarh and Chief Election Officer, Haryana, Chandigarh.;November 17, 2011;Disposed off with advice;Harassment of Newsmen;AnnualReport2012
18.Complaint of Shri Kamal Bakshi, Editor/Publisher, Divye Prabhat, Muzaffarnagar, U.P. against (i) Chief Secretary, Government of Uttar Pradesh, Lucknow, (ii) Chief Election Officer, Uttar Pradesh, Lucknow and (iii) District Election Officer, Uttar Pradesh, Lucknow.;March 27, 2012;Disposed off with observations;Harassment of Newsmen;AnnualReport2012
19.Complaint of Shri Ramcharan Mali, Editor, Vanvasi Express, Baran, Rajasthan against the Director, Information & Public Relations Department, Government of Rajasthan, Jaipur.;March 27, 2012;Disposed off with directions;Harassment of Newsmen;AnnualReport2012
20.Complaint of Shri Anurag Shukla, Journalist, Satta Express, Kanpur Dehat, Uttar Pradesh against the Director, I&PRD, Lucknow, U.P.;March 27, 2012;Directions;Harassment of Newsmen;AnnualReport2012
21.Complaint of Shri Vinay Gupta, Chief Secretary, Indian Newspapers and Journalist Association, Pitampura, New Delhi against the Director, I&PRD, Chandigarh, Haryana.;March 27, 2012;Directions;Harassment of Newsmen;AnnualReport2012
22.Complaint of Shri Madan Verma, Editor, Good Haryana, Jind, Haryana against the Director, I&PRD, Chandigarh and Cultural Affairs Department, Government of Haryana, Chandigarh.;March 27, 2012;Dismissed;Harassment of Newsmen;AnnualReport2012
23.Complaint of Mohd. Abdul Azeem, Freelance Journalist, Hyderabad against the Director, Public Relations Officer, Government of Andhra Pradesh, Hyderabad, Andhra Pradesh.;March 27, 2012;Disposed off;Harassment of Newsmen;AnnualReport2012
24.Complaint of Shri P.V. Ramana Rao, Correspondent, PTI, Guntur, A.P. against the District Public Relations Officer, Guntur.;March 27, 2012;Dismissed;Harassment of Newsmen;AnnualReport2012
