Complaint;Date;Status;ComplaintType;Report_name
﻿1.Reference from Dr. Arun Kumar Sarma, M.P. (Lok Sabha) and Shri Saarbananda Sonowal, M.P. (Lok Sabha) regarding the arrest and torture of Shri Rabin Dhekia Phukan, Kakopathar based correspondent of Asomiya Pratidin, by the Assam Police ;June 9, 2009;Closed ;Harassment of Newsmen;AnnualReport2010
2.Complaint of Shri K.L. Vishwakarma, Chief Editor, Bundelkhand Chetna, Uttar Pradesh against Police Authorities of Uttar Pradesh;September 7, 2009;Rejected;Harassment of Newsmen;AnnualReport2010
3.Complaint of Shri Viresh Kumar Shukla, Correspondent, Hindustan, Sitapur, U.P. against Police Authorities of Uttar Pradesh ;September 7, 2009;Upheld;Harassment of Newsmen;AnnualReport2010
4.Complaint of Shri Ramesh Tiwari, Special Correspondent, Samaj Ki Bhumika, Lucknow against Police Authorities of Uttar Pradesh;September 7, 2009;Upheld;Harassment of Newsmen;AnnualReport2010
5. Complaint of Shri Gopal Upadhyaya, Correspondent, Dainik Jagran, Bihar against Police Authorities of Bihar ;September 7, 2009;Sub-judice;Harassment of Newsmen;AnnualReport2010
6. Complaint of Shri Naval Kishore Sharma, Editor, Janta Ki-Kiran, Bihar against the Divisional Development Officer-cum-Executive Officer and Police Authorities of Bihar;September 7, 2009;Rejected;Harassment of Newsmen;AnnualReport2010
7. Complaint of Mohammed Ateek Warsi, Correspondent, Suraj Kesari, Barabanki, U.P. against the Police Authorities, Barabanki, U.P.;February 22, 2010;Settled;Harassment of Newsmen;AnnualReport2010
8. Complaint of Shri Raees Ali Siddiqui, Editor, Bharat Nepal Times, Lucknow, U.P. against the Station House Officer, Police Station- Bakshi Ka Talab, Lucknow, U.P. ;February 22, 2010;Sub-judice;Harassment of Newsmen;AnnualReport2010
9. Complaint of Smt. Usha Dwivedi, Wife of Shri Rajender Dwivedi, Correspondent, AIR & UNI, Sonebhadra, U.P. against the Police Authorities, Sonebhadra, U.P. ;February 22, 2010;Sub-judice;Harassment of Newsmen;AnnualReport2010
10. Complaint of Thakur Tabbu, Editor, Insaf Ki Batein, Behraich, U.P. against the General Manager, Shrawasti Kissan Sahakari Chini Mills Ltd. and the Police Authorities, Behraich, U.P. ;February 22, 2010;Dismissed ;Harassment of Newsmen;AnnualReport2010
11. Complaint of Shri Riyazuddin, Correspondent,Dainik Hindustan, Banda, U.P. againstthe Police Authorities, Banda, U.P.;February 22, 2010;Sub-judice ;Harassment of Newsmen;AnnualReport2010
12. Complaint of Shri Jagjit Singh Editor-in-Chief, Dardi, Chardikala, Punjab Patiala, against Anti-Social Elements ;February 22, 2010;Withdrawn;Harassment of Newsmen;AnnualReport2010
