Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri Biju Gana Poojari, Kollam, Kerala against the Editor, Mathrubhumi, Kozhikode, Kerala ;June 9, 2009; Closed ;Principles and Publications;AnnualReport2010
2. Complaint of Shri Manoj K. Kamra, Bikaner, Rajasthan against the Editor, Dainik Bhaskar, Bikaner, Rajasthan ;June 9, 2009;Dismissed ;Principles and Publications;AnnualReport2010
3. Complaint of Swami Arup Bramhachari, Patron, Yuva Manch, Bodhgaya, Bihar against the Editor, Hindustan, Patna, Bihar;June 9, 2009;Dismissed;Principles and Publications;AnnualReport2010
4. Complaint of Syed Nafeesul Hasan, Behraich, U.P. against the Editor, Hindustan, Hindi daily, Lucknow, Uttar Pradesh ;June 9, 2009;Dismissed  ;Principles and Publications;AnnualReport2010
5. Complaint of Dr. D.K. Bhandari, Bhandari Hospital, Dehradun, Uttrakhand against the Editor, Rana Express, Ludhiana, Punjab ;June 9, 2009;Censured;Principles and Publications;AnnualReport2010
6.Complaint of Dr. D.K. Bhandari, Bhandari Hospital, Dehradun, Uttrakhand against the Editor, Lok Sewa, Ludhiana, Punjab ;June 9, 2009;Censured;Principles and Publications;AnnualReport2010
7.Complaint of Shri Sudhakar S. Shanbhag, Secretary, Maharashtra Cricket Association, Pune against the Editor, Loksatta, Pune, Maharashtra   ;September 7, 2009;Dismissed;Principles and Publications;AnnualReport2010
8. Complaint of Prof. Ashrafi Lal Sharma, Ex. Vice-Chancellor, School of Instrumentation, Devi Ahilya Vishwavidyalaya, Indore, M.P against the Editor, Dainik Bhaskar, Indore, M.P. ;September 7, 2009;ClosedNonPursuance;Principles and Publications;AnnualReport2010
9. Complaint of Shri Shishir Jha, Commissioner of Income Tax & Official Spokesperson, Government of India, Ministry of Finance, Department of Revenue, CBDT, New Delhi against the Editor, New Indian Express, Chennai ;September 7, 2009;Matter allowed to rest;Principles and Publications;AnnualReport2010
10. Complaint of Ms. Shobha Aggarwal, New Delhi against the Editor, The Tribune, Chandigarh ;September 7, 2009;Closed with directions ;Principles and Publications;AnnualReport2010
11. Complaint of Shri Ashok K. Tejuja, Mumbai against the Editor, The Indian Express, Mumbai ;September 7, 2009;Directions ;Principles and Publications;AnnualReport2010
12. Complaint of Dr. Atul Kumar, New Delhi against the Editor, Dainik Jagran, Noida, U.P. ;September 7, 2009;Upheld;Principles and Publications;AnnualReport2010
13. Complaint of Shri Ramkaran M. Pasi, Senior Divisional Mechanical Engineer, Bareilly, U.P. against the Editor, Dainik Jagran, Bareilly, U.P. ;February 22, 2010;Directions ;Principles and Publications;AnnualReport2010
14. Complaint IAS, of Shri V. Nagi Reddy, Secretary to the Government of Andhra Pradesh, Social Welfare Department, Hyderabad, Andhra Pradesh against the Editor Andhra Bhoomi, Hyderabad, A.P. ;February 22, 2010;Warned;Principles and Publications;AnnualReport2010
22. Complaint of Shri Om Prakash Kharakia, President, Shree Agrasen Co-operative Urban T&C Society Ltd., New Delhi against the Editor, Meri Delhi, New Delhi;February 22, 2010;Regret expressed No further action;Principles and Publications;AnnualReport2010
23. Complaint of Shri Surinder Pal and other Advocates, Ludhiana, Punjab against the Editor, Rana Pratap, Ludhiana, Punjab ;February 22, 2010;Censured;Principles and Publications;AnnualReport2010
24. Complaint of Shri Surinder Pal and other Advocates, Ludhiana, Punjab against the Editor, Lok Sewa, Ludhiana, Punjab ;February 22, 2010;Censured;Principles and Publications;AnnualReport2010
25. Complaint of Hizb-ut-Tehrir, International Political Organisation (through Advocate) Delhi against the Editor, Junior Vikatan, Chennai, Tamil Nadu ;March 31, 2010 ;Disposed off with observation;Principles and Publications;AnnualReport2010
26. Complaint of Shri Binod Kumar Sinha, Dhanbad, Jharkhand against the Editor Saras Salil, New Delhi  ;March 31, 2010 ;Censured ;Principles and Publications;AnnualReport2010
27. Complaint of Dr. C. Venkatakrishnan, Salem, Tamil Nadu, Chennai against the Editor, Kumudam, Chennai, Tamil Nadu ;March 31, 2010 ;Reprimanded  ;Principles and Publications;AnnualReport2010
28. Complaint of Dr. C. Venkatakrishnan, Salem, Chennai, the Editor, Tamil Nadu against Dhinathanthi, Tamil Salem, Nadu ;March 31, 2010 ;No action ;Principles and Publications;AnnualReport2010
29. Complaint of Dr. C. Venkatakrishnan, Salem, Chennai against Malai the Editor, Malar, Chennai ;March 31, 2010 ;No action;Principles and Publications;AnnualReport2010
30. Complaint of Dr. C. Venkatakrishnan, Salem, Chennai, Tamil Nadu against the Editor, Dinakaran, Chennai, Tamil Nadu M Date of Category Decision ;March; 31, 2010 ;Principles and Publications;AnnualReport2010
31. Complaint of Shri C.R. Aswathanarayana, Mysore, Karnataka against the Editor, Star of Mysore, Karnataka ;March; Dismissed for nonpursuance ;Principles and Publications;AnnualReport2010
32. Suo motu action against the Editor, Hamara Kaam, Kolkata Censured 33. Complaint of Shri Rakesh Kumar Agnihotri, Jhansi, U.P. against the Editor, Dainik Jagran, Jhansi, U.P. ;March;Upheld ;Principles and Publications;AnnualReport2010
34. Complaint of Shri Yogendra Kumar, an ex-MLA, and the Candidate for the Legislative Assembly Election Bisoli, Badayun, U.P. against the Editor, Amar Ujala, Bareilly, U.P. ;March;Cautioned;Principles and Publications;AnnualReport2010
35. Complaint of Shri Yogendra Kumar, an ex-MLA, and the Candidate for the Legislative Assembly Election Bisoli, Badayun, U.P. against the Editor, Dainik Jagran, Bareilly, U.P. Cautioned;March;Cautioned;Principles and Publications;AnnualReport2010
