Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint filed by the Private Secretary to the Hon'ble Speaker, Tamil Nadu Legislative Assembly i against the Hindu, Madras.;June29-30, 1989;(B);Principles and Publication;AnnualReport1990
2. Complaint of Shri M Raghu Ram against Deccan Chronicle.;June29-30, 1989;(B);Principles and Publication;AnnualReport1990
3. Complaint of the Hindustan Times, English daily against The Times of India.;June29-30, 1989;(A);Principles and Publication;AnnualReport1990
4. Complaint of the Registrar, Jamia Millia Islamia University against Times of India.;June29-30, 1989;(B);Principles and Publication;AnnualReport1990
5. Complaint of Shri Fakkruddin Vanak against India Today. ;June29-30, 1989;(B);Principles and Publication;AnnualReport1990
6. Complaint of Shri Paras Ram, Editor, The Light of Andamans against the editor, Anda-man and Nicobar Islands Sun Times.;June29-30, 1989;(B);Principles and Publication;AnnualReport1990
7. Complaint of the Government of Karnataka against editor, Hindu regarding publication of a false and baseless news-item in issue dated Dec. 24, 1987.;June29-30, 1989;(A);Principles and Publication;AnnualReport1990
8. Complaint of Dr. Subramanian Swamy against Indian Post, Bombay regarding non-coverage of his press conference.;June29-30, 1989;(B);Principles and Publication;AnnualReport1990
9. Complaint of Shri V.E. Arunachalam against Pensioners' Advocate.;June29-30, 1989;(B);Principles and Publication;AnnualReport1990
10. Complaint of the editor, Sruti, Indian Classical and Dance, magazine against Illu-strated Weekly of India.;September 28-29, 1989;(B);Principles and Publication;AnnualReport1990
11. Complaint of Director, Information and Cultural Affairs, Department of Tourism, Government of Tripura against editor, Daily Deshar Katha.;September 28-29, 1989;(A);Principles and Publication;AnnualReport1990
12. Complaint of Shri C.K. Kothukoshy against Indian Express.;December 21-22, 1989;(A);Principles and Publication;AnnualReport1990
13. Complaint of Dr. S.N. Dave against Indian Express.;December 21-22, 1989;(B);Principles and Publication;AnnualReport1990
14. Complaint of Dr. Basudev Prasad Yadav against daily Aaj.;December 21-22, 1989;(B);Principles and Publication;AnnualReport1990
15. Complaint of Shri Brijmohan Pant, Journa-list against Nav Bharat Times, New Delhi.;December 21-22, 1989;(B);Principles and Publication;AnnualReport1990
16. Complaint of Shri Harish Uppal against the Hindustan Times.;December 21-22, 1989;(A);Principles and Publication;AnnualReport1990
17. Complaint of Miss Bindu Bhama against Jansatta, New Delhi.;December 21-22, 1989;(A);Principles and Publication;AnnualReport1990
18. Complaint of Shri Amarendra Chakravorty, editor, Karmakshetra weekly against Jugan-tar Kajer Sujog.;March 26-27, 1990;(C);Principles and Publication;AnnualReport1990
