Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Sh. Vijay Kumar Salwan, Deputy Forest Ranger, Wild Life, Kota against Rajasthan Patrika.;April 6, 1999;Directions;Principles and Publications;AnnualReport2000
2. Complaint of Sh. Banwari Lal Bhatt, Convernor, Swaran Jayanti Samaroh Sanyojan Samiti, Narena against Rajasthan Patrika.;April 6, 1999;Upheld;Principles and Publications;AnnualReport2000
3. Complaint of Sh. Ishwar Lal Khatri, Editor, Satyapur Times, Jallore against Dainik Bhaskar, Jodhpur.;April 6, 1999;Upheld;Principles and Publications;AnnualReport2000
4. Complaint of Sh. Babu Ram Bansal, Mansa, Punjab against The Tribune, Chandigarh.;April 6, 1999;Dismissed for lack of substance;Principles and Publications;AnnualReport2000
5. Complaint of Dr. (Ms.) Harshwanti Bisht, Reader and Head of the Department of Economics, Government of P.G. College, Uttarkanshi against Amar Ujala, Meerut.;April 6, 1999;Directions;Principles and Publications;AnnualReport2000
6. Complaint of Dy. Director, Animal Husbandary Department, Agra against Dainik Jagran, Agra.;April 6, 1999;Proceedings dropped (Not pursued);Principles and Publications;AnnualReport2000
7. Complaint of Sh. Bansi Lal, General Secretary, All India Anti Corruption Organisation, New Delhi against Surya Shakti Express.;April 6, 1999;Upheld;Principles and Publications;AnnualReport2000
8. Complaint of Sh. Manish K. Patel, Baroda against Sandesh, Baroda.;June 7, 1999;Proceedings dropped;Principles and Publications;AnnualReport2000
9. Complaint of Shri C. Antony Louis, Mumbai against The Times of India, Mumbai regarding publication of news item supplied by Press Trust of India.;June 7, 1999;Upheld;Principles and Publications;AnnualReport2000
10. Complaint of Sh. V. V. Easwaran, Bangalore against Times of India, Mumbai;June 7, 1999;Directions to publish compla-inant's reply;Principles and Publications;AnnualReport2000
11. Complaint of Sh. K. L. Mahaley, Professor of History (Retd.) Mumbai against The Times of India and Indian Express.;June 7, 1999;Dismissed on merits;Principles and Publications;AnnualReport2000
12. Complaint of Dr. (Smt.) Alke Singh, Bangalore and Shri D. P. Singh, Bangalore against Femina.;August 6, 1999;Upheld;Principles and Publications;AnnualReport2000
13. Complaint of Sh. N. S. Unni, Thiruvannur, Calicut against Malayala Manorama, Kannur, Kerala.;August 6, 1999;Upheld;Principles and Publications;AnnualReport2000
14. Complaint of Sh. S. M. Kulandaiswami, Freelance Journalist, Madurai, Tamil Nadu against Imagine, English monthly, Allahabad.;August 6, 1999;Upheld;Principles and Publications;AnnualReport2000
15. Complaint of the Welfare Officer, Indian Audit and Accounts Department, Accountant General (Audit) Himachal Pradesh, Shimla against Divya Himachal.;October 13, 1999;Upheld;Principles and Publications;AnnualReport2000
