Complaint;Date;Status;ComplaintType;Report_name
1.Complaint of Prof. (Dr.)R. Nath, Agra against Hindustan Times, New Delhi;September 22,2003;Directions to publish rejoinder;Principles and Publications;AnnualReport2004
2. Complaint of Shri S.A. Alawni, Mumbai against Maharashtra Times, Mumbai;September 22,2003;Closed for not being pressed;Principles and Publications;AnnualReport2004
3. Complaint of Shri D.V. Nerurkar, Mumbai against Maharashtra Times, Mumbai;September 22,2003;Closed for not being pressed;Principles and Publications;AnnualReport2004
4.Complaint of Shri M.S. Kilpady, Mumbai against Editor, Afternoon Despatch & Courier, Mumbai;September 22,2003;Dismissed;Principles and Publications;AnnualReport2004
5. Complaint of Shri Nirbiit, Sub Inspector, Chandigarh Police against Dainik Bhaskar, Chandigarh;September 22,2003;Dismissed;Principles and Publications;AnnualReport2004
6. Complaint of Ms. Deepa Joshi, Principal, National English School, Allahabad against Amar Ujala, Allahabad.;September 22,2003;Disposed of with directions;Principles and Publications;AnnualReport2004
7. Complaint of Shri JS. Gangwar, Superintendent of Police, Nawada against Hindustan Times, Patna;September 22,2003;Dismissed being without substance;Principles and Publications;AnnualReport2004
8. Complaint of Shri Dilipkumar Ramanlal Shah, Advocate, Ahmedabad against Khadayati Jyoti Prakashan, Ahmedabad. (Gujarat);November 17, 2003;Dismissed;Principles and Publications;AnnualReport2004
9. Complaint of Shri M.S. Kilpady, Mumbai against Afternoon Despatch & Courier, Mumbai;March 17,2004;Dismissed being devoid of merit;Principles and Publications;AnnualReport2004
10.;March 17,2004;Dismissed being devoid of merit;Principles and Publications;AnnualReport2004
11.Complaint of Shr Mathews Philip,Executive Director, South India Cell for Human Rights Education & Monitoring, Bangalore against Hai Bangalore;March 17,2004;Warned;Principles and Publications;AnnualReport2004
12. Complaint of Shri C. Rajesh,  against India (Supplement of India-US Business);March 17,2004;Disposed of with direction;Principles and Publications;AnnualReport2004
13. Complaint of Shri M. Rama Rao, Hubli, Karnataka against Sanyuktha Karnataka, Hubli;March 17,2004;Disposed of with direction;Principles and Publications;AnnualReport2004
14. Complaint of Shri Ramchandra Vashisht, Gurgaon against Dainik Jagran, Gurgaon;March 17,2004;Dismissed;Principles and Publications;AnnualReport2004
15.Complaint of Shri S.K. Gupta, Rani Talab, ; Jind against Dainik Jagran ;Warned;Principles and Publications;AnnualReport2004
16. Complaint of Shri Qayum Latif, Shahjadpur, Ambala, Haryana against Dainik Bhaskar, Ambala ; Jind against Dainik Jagran ;Warned;Principles and Publications;AnnualReport2004
17. Complaint of Shri R.L. Kain, General Secretary, Dr. B.R. Ambedkar Vichar Manch, New Delhi against The Hindustan Times ; Jind against Dainik Jagran ;Dismissed being devoid of merit;Principles and Publications;AnnualReport2004
18. Complaint of Director, Hotel Shahenshah Palace, Kashmir against Greater Kashmir ; Jind against Dainik Jagran ;Directions;Principles and Publications;AnnualReport2004
19. Complaint of Shri M.Siva Kumar, Works Manager, Gun Carriage Factory,;Jabalpur against Dainik Bhaskar, Jabalpur;Directions;Principles and Publications;AnnualReport2004
20. Complaint of Shri M. Siva Kumar, Works Manager, Gun Carriage Factory, Jabalpur against Dainik Bhaskar, Jabalpur;March 17, 2004;Directions;Principles and Publications;AnnualReport2004
21. Complaint of Ms. Malika Sarabhai,, Ahmedabad against The Editor, Sandesh ;June 30 2003;Directions publish to clarification;Press and Defamation;AnnualReport2004
22. Complaint of Ms. Mallika Sarabhai, Ahmedabad against The Editor, Gujarat Samachar;June 30 2003;Directions publish to clarification;Press and Defamation;AnnualReport2004
