Complaint;Date;Status;ComplaintType;Report_name
﻿1.Complaint of Shri Amar Kumar Singh, Head, Department of English, SKM University, Dumka, Jharkhand against the Editor, Prabhat Khabar;November 17,  2011;Dismissed;Principles and Publication;AnnualReport2012
2.Complaint Shri Navdeep Singh Virk, IPS, Additional Superintendent of Police, Sonipat, Haryana against the Editor, Amar Ujala, Noida, U.P.;November 17,  2011;Closed for non-pursuance;Principles and Publication;AnnualReport2012
3.Complaint of Shri Shiv Kumar Faizabadi, Secretary, Jagruk Nagrik Manch, Faizabad, U.P. against the editor, Maya Avadh, Lucknow, Uttar Pradesh;November 17,  2011;Regret Published- Matter closed;Principles and Publication;AnnualReport2012
4.Complaint of Shri Ashok Coomar, Maj. Gen (Retd.) Bhopal, Madhya Pradesh against the editor, The Hindustan Times, Bhopal, Madhya Pradesh.;November 17,  2011;Disposed off with observations;Principles and Publication;AnnualReport2012
5.Complaint of Shri M.K. Bainiwal, New Delhi against the Editor, The Hindu, Tamil Nadu;November 17,  2011;Dismissed for lack of substance;Principles and Publication;AnnualReport2012
6.Complaint of Shri M.K. Bainiwal, New Delhi against the Editor, Hindustan, New Delhi;November 17,  2011;Dismissed for lack of substance;Principles and Publication;AnnualReport2012
7.Complaint of Shri N.B. Mani, Under Secretary, Technology Department Board, Ministry of Science and Technology, New Delhi against the Editor, Rashtriya Sahara, Dehradun;November 17,  2011;Closed for Non-pursuance;Principles and Publication;AnnualReport2012
8.Complaint of Shri Chander Bhushan Sharma, Principal, S.S. College, Shastri Nagar, Jehanabad, Bihar against the Editor, Rashtriya Sahara, Patna;March 27, 2012;Dismissed;Principles and Publication;AnnualReport2012
9.Complaint of Shri V.M. Bedse, Nasik, Maharashtra against the;March 27, 2012;off with directions/ observations;Principles and Publication;AnnualReport2012
10.Complaint of Shri V.M. Bedse, Nasik, Maharashtra against the Editor, Sakal, Pune;March 27, 2012;Disposed off with directions observations;Principles and Publication;AnnualReport2012
11.Complaint of Shri V.M. Bedse, Nasik, Maharashtra against the;March 27, 2012;Disposed off with directions observations;Principles and Publication;AnnualReport2012
12.Complaint of Dr. Zora Singh, Chairman,  Desh Bhagat Group of Institutes, Chandigarh against the Editor, The Times of India, Chandigarh;March 27, 2012;Rejected;Principles and Publication;AnnualReport2012
13.Complaint of Shri Nungsanglemba, AO, JDPR, Directorate of Public Relations, Ministry of Defence, New Delhi against the Editor, Dainik Bhaskar, Jodhpur, Rajasthan;March 27, 2012;Dismissed;Principles and Publication;AnnualReport2012
14.Complaint of Shri S.V. Mani, Journalist/Writer, Chennai against the Editor, The Times of India, Bangaluru;March 27, 2012;Closed;Principles and Publication;AnnualReport2012
15.Complaint of Shri S.V. Mani, Journalist/Writer, Chennai against the Editor, The Times of India, Mumbai;March 27, 2012;Disposed off;Principles and Publication;AnnualReport2012
16.Complaint of Shri R. Manohar, Head Programmes, South India Cell for Human Rights Education and Monitoring, Bangalore against the Editor, The Times of India, Bangaluru;March 27, 2012;Directions;Principles and Publication;AnnualReport2012
17.Complaint of Shri R. Manohar, Head Programmes, South India Cell for Human Rights Education and Monitoring, Bangalore against the Editor, Deccan Chronicle, Bangaluru;March 27, 2012;Directions;Principles and Publication;AnnualReport2012
18.Complaint of Ch. V. Suryanarayana, Secunderabad, A.P. against the Editor, The New Indian Express, Hyderabad;March 27, 2012;Closed;Principles and Publication;AnnualReport2012
19.Complaint of Shri Anil Kumar Kamal, Bijnor, U.P. against the Editor, Bijnor Times, Bijnor, U.P.;November 17, 2011;Reprimanded;Press and Defamation;AnnualReport2012
20.Complaint of Shri Anil Kumar Kamal, Bijnor, U.P. against the Editor, Chingari Bijnor, U.P.;November 17, 2011;Reprimanded;Press and Defamation;AnnualReport2012
21.Complaint of Shri Anil Kumar Kamal, Bijnor, U.P. against the Editor, Shah Times,;November 17, 2011;Reprimanded;Press and Defamation;AnnualReport2012
22.Complaint of Shri Anil Kumar Kamal, Bijnor, U.P. against the Editor, Royal Bulletin, Muzaffarnagar, U.P.;November 17, 2011;Reprimanded;Press and Defamation;AnnualReport2012
23.Complaint of Shri A.T.M. Rangaramanujam, Senior Advocate, Supreme Court of India, Delhi against the Editor, Andhra Jyothi, Andhra Pradesh;November 17,  2011;No action;Press and Defamation;AnnualReport2012
24.Complaint of Shri A.T.M. Rangaramanujam, Senior Advocate, Supreme Court of India, Delhi against the Editor, Sakshi, Andhra Pradesh;November 17,  2011;Directions;Press and Defamation;AnnualReport2012
25.Complaint of Shri D.N. Nagendra Jois, Shimoga, Karnataka against the Editor, Lakshmeesha Patrike;November 17,  2011;Disposed off for non-pursuance;Press and Defamation;AnnualReport2012
26.Complaint of Dr. Padmaja Jayaram, Anuradha Nursing Home, Shimoga District, Karnataka against the Editor, Lakshmeesha Patrike, Kannada Weekly;November 17,  2011;Cautioned;Press and Defamation;AnnualReport2012
27.Complaint of Shri Ashok Nath, Library and Information Officer, Assistant National Library, Kolkata against the Editor, Ananda Bazaar Patrika, Kolkata.;November 17,  2011;Rejoinder Published;Press and Defamation;AnnualReport2012
28.Complaint of Shri Ashok Nath, Library and Information Officer, Assistant National Library, Kolkata against the Editor, The Telegraph,;November 17,  2011;Published;Press and Defamation;AnnualReport2012
29.Complaint of Admiral Arun Prakash (Retd.), Goa against the Editor, Outlook Magazine, New Delhi;November 17,  2011;Disposed off with Directions;Press and Defamation;AnnualReport2012
30.Complaint of Ms. Rita Sen, Principal, Delhi Public School, Delhi against the Editor, The Economic Times, New Delhi.;November 17,  2011;Admonished;Press and Defamation;AnnualReport2012
31.Complaint of Shri Devi Ram through his advocate Shri Tejbir S. Ahlawat, Rohtak, Haryana against the Editor, Dainik Jagran, Noida, U.P Novermber 17,  2011;November 17,  2011;Admonished;Press and Defamation;AnnualReport2012
32.Complaint of the Secretary, Rajdhani Nagar Sahkari Bank Ltd., Lucknow, U.P. (through advocate Shri Ashutosh Pandey) against the Editor, Lokdrishti, Lucknow, U.P.;November 17,  2011;Closed for non-pursuance;Press and Defamation;AnnualReport2012
33.Complaint of Shri R.P. Mishr, Accounts Officer, Uttar Pradesh Jagadguru Rambhadracharya Handicapped University, Chitrakoot Dham against the Editor, Prakhar Vichar/Patrika, Astha, Lucknow, U.P.;November 17,  2011;Censured;Press and Defamation;AnnualReport2012
34.Complaint of Shri Upender Kumar Agarwal, IPS, Superintendent of Police, Railways against the Editor, Aaj, U.P.;November 17,  2011;Closed for non-pursuance;Press and Defamation;AnnualReport2012
35.Complaint of Shri Jagdish Prasad, Kanpur, Uttar Pradesh against the Editor, Amar Ujala, Kanpur, Uttar Pradesh.;November 17,  2011;Closed for non-pursuance;Press and Defamation;AnnualReport2012
