Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Sh. Subhash Jain, Chief Editor, 'Aaj Ki Janata', weekly paper published from Indore, regarding threats from anti-social elements, Madhya Pradesh.;July12,1990;D;Voilence against Newsmen;AnnualReport1991
2. Complaint of Sh. Rajendra Gujar, Editor of 'Rashtriya Vaseeyat' published from Guna, Shivpuri, Bhopal against Govt. of M.P.;July12,1990;D;Voilence against Newsmen;AnnualReport1991
7. Complaint of Sh. Suresh Gupta, Chief Editor, 'Dainik Jan Vishwas', daily Hindi paper published from Pilibhit against Information Officer of the District.;November  5, 1990;C;Voilence against Newsmen;AnnualReport1991
8. Complaint of Sh. Leeladhar Aggarwal, Editor, 'Barho Jawan', Hindi daily, published from Mathura against Govt. of U.P.;November  5, 1990;B;Voilence against Newsmen;AnnualReport1991
9. Complaint of Dr. Inder Sen Tripathi, Chief Editor, 'Viplavi Majdoor' weekly, published from Hardoi, U.P. against District police regarding threats to his life.;November  5, 1990;D;Voilence against Newsmen;AnnualReport1991
10. Complaint of Sh. Kallan Khan, Chief Editor, 'Khatouli Bulletin' published from Khatouli, against Congress (I) workers regarding physical assault and threats.;November  5, 1990;D;Voilence against Newsmen;AnnualReport1991
11. Complaint of Sh. Satish Kumar, Editor, 'Mazdoor Morcha', Hindi Fortnightly, Faridabad, against Govt. of Haryana.;November  5, 1990;A;Voilence against Newsmen;AnnualReport1991
12. Complaint of Sh. K. K. Vijayan, Correspondent, 'Powaran' Daily, Kerala against the local police officials for their harassment to the journalist.;November  5, 1990;D;Voilence against Newsmen;AnnualReport1991
13. Complaint of Sh. Sambhu Panigrahy, Press Correspondent, 'Samaj' and 'Dainik Asha', against Sub-Collector, Chatrapur, Orissa in regard to allegations against the journalist.;November  5, 1990;D;Voilence against Newsmen;AnnualReport1991
14. Complaint of Sh. V. G. Theodore, Freelance journalist of Geladur, against some government officials regarding injustice to journalist.;November  5, 1990;D;Voilence against Newsmen;AnnualReport1991
15. Complaint of Sh. Salim Siddiqui, District Correspondent, 'Nav Bharat Times', against police authorities of U.P. regarding institution of false cases.;January21, 1991;C;Voilence against Newsmen;AnnualReport1991
16. Complaint of Sh. Ramesh Sahu, Editor, Dainik Satya Bhraman, Chhatarpur', M.P. against Sub-Inspector of Police for misbehaviour.;March 20, 1991;B;Voilence against Newsmen;AnnualReport1991
